Field,ID,Type (Тип),default,en-us,ru-ru,de-de,fr-fr,es-es,zh-cn,ja-jp,ko-kr,pt-br,it-it,ar-sa,hi-in,tr-tr,uk-ua,pl-pl,nl-nl
Title,4,Текст,,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType,VoiceType
ShortDescription,8,Текст,,"Fast offline AI dictation for Windows. VoiceType converts speech to text in real time in any app with global hotkeys and full on-device privacy.","Быстрый офлайн AI-диктовщик для Windows. VoiceType превращает речь в текст в любом приложении в реальном времени с глобальными хоткеями и полной локальной приватностью.","Schnelle Offline-KI-Diktier-App für Windows. VoiceType wandelt Sprache in Echtzeit in jeder App in Text um mit globalen Hotkeys und vollständigem Datenschutz auf dem Gerät.","Dictée IA hors ligne rapide pour Windows. VoiceType transforme la voix en texte en temps réel dans n’importe quelle application avec raccourcis globaux et confidentialité locale complète.","Dictado por IA rápido sin conexión para Windows. VoiceType convierte voz en texto en tiempo real en cualquier aplicación con atajos globales y privacidad total en el dispositivo.","适用于 Windows 的快速离线 AI 听写应用。VoiceType 可在任意应用中实时将语音转换为文本，支持全局快捷键并保障本地隐私。","Windows 向け高速オフライン AI 音声入力。VoiceType はあらゆるアプリで音声をリアルタイムにテキスト化し、グローバルホットキーと端末内プライバシーを提供します。","Windows용 빠른 오프라인 AI 받아쓰기 앱. VoiceType는 모든 앱에서 음성을 실시간 텍스트로 변환하며 전역 단축키와 로컬 프라이버시를 제공합니다.","Ditado por IA offline rápido para Windows. O VoiceType converte fala em texto em tempo real em qualquer app com atalhos globais e privacidade total no dispositivo.","Dettatura AI offline veloce per Windows. VoiceType converte la voce in testo in tempo reale in qualsiasi app con scorciatoie globali e privacy completa sul dispositivo.","إملاء ذكي سريع دون اتصال لنظام Windows. يحول VoiceType الكلام إلى نص فوري في أي تطبيق مع اختصارات عامة وخصوصية كاملة على الجهاز.","Windows के लिए तेज ऑफलाइन AI डिक्टेशन. VoiceType किसी भी ऐप में आवाज़ को रियल-टाइम टेक्स्ट में बदलता है और ग्लोबल हॉटकी व पूरी ऑन-डिवाइस प्राइवेसी देता है।","Windows için hizli cevrimdisi yapay zeka dikte uygulamasi. VoiceType konusmayi herhangi bir uygulamada gercek zamanli metne cevirir ve global kisayollar ile tam cihaz ici gizlilik sunar.","Швидке офлайн AI-диктування для Windows. VoiceType перетворює мовлення на текст у реальному часі в будь-якому застосунку з глобальними гарячими клавішами та повною локальною приватністю.","Szybkie offline AI dyktowanie dla Windows. VoiceType zamienia mowe na tekst w czasie rzeczywistym w dowolnej aplikacji z globalnymi skrotami i pelna prywatnoscia na urzadzeniu.","Snelle offline AI-dicteerapp voor Windows. VoiceType zet spraak in realtime om naar tekst in elke app met globale sneltoetsen en volledige privacy op het apparaat."
Description,2,Текст,,"VoiceType is an offline AI dictation app for Windows powered by Nemotron ASR. It types what you say in real time in any application, supports global hotkeys, and keeps all processing on your device.","VoiceType — офлайн AI-диктовщик для Windows на базе Nemotron ASR. Приложение печатает вашу речь в реальном времени в любом приложении, поддерживает глобальные хоткеи и обрабатывает данные только локально на вашем устройстве.","VoiceType ist eine Offline-KI-Diktier-App für Windows auf Basis von Nemotron ASR. Die App schreibt Gesprochenes in Echtzeit in jeder Anwendung, unterstützt globale Hotkeys und verarbeitet alle Daten lokal auf Ihrem Gerät.","VoiceType est une application de dictée IA hors ligne pour Windows basée sur Nemotron ASR. Elle saisit votre voix en texte en temps réel dans toute application, prend en charge les raccourcis globaux et traite toutes les données localement sur votre appareil.","VoiceType es una aplicación de dictado por IA sin conexión para Windows basada en Nemotron ASR. Escribe tu voz en texto en tiempo real en cualquier aplicación, admite atajos globales y procesa todos los datos localmente en tu dispositivo.","VoiceType 是一款基于 Nemotron ASR 的 Windows 离线 AI 听写应用。它可在任意应用中实时将语音转成文本，支持全局快捷键，并且所有处理都在本地设备完成。","VoiceType は Nemotron ASR を搭載した Windows 用オフライン AI 音声入力アプリです。あらゆるアプリで音声をリアルタイムにテキスト化し、グローバルホットキーに対応、すべての処理を端末内で完結します。","VoiceType는 Nemotron ASR 기반의 Windows 오프라인 AI 받아쓰기 앱입니다. 모든 앱에서 음성을 실시간 텍스트로 입력하고 전역 단축키를 지원하며 모든 처리는 기기 내부에서 수행됩니다.","VoiceType e um aplicativo de ditado por IA offline para Windows com tecnologia Nemotron ASR. Ele transforma sua fala em texto em tempo real em qualquer aplicativo, suporta atalhos globais e processa todos os dados localmente no dispositivo.","VoiceType e un'app di dettatura AI offline per Windows basata su Nemotron ASR. Trasforma la voce in testo in tempo reale in qualsiasi applicazione, supporta scorciatoie globali e mantiene tutta l'elaborazione localmente sul dispositivo.","VoiceType هو تطبيق إملاء ذكي دون اتصال لنظام Windows يعتمد على Nemotron ASR. يكتب كلامك كنص فوري في أي تطبيق، ويدعم الاختصارات العامة، وتتم كل المعالجة محلياً على جهازك.","VoiceType, Nemotron ASR पर आधारित Windows के लिए एक ऑफलाइन AI डिक्टेशन ऐप है। यह आपकी आवाज़ को किसी भी ऐप में रियल-टाइम टेक्स्ट में लिखता है, ग्लोबल हॉटकी सपोर्ट करता है, और सारा प्रोसेसिंग आपके डिवाइस पर ही करता है।","VoiceType, Nemotron ASR destekli Windows icin cevrimdisi bir yapay zeka dikte uygulamasidir. Konusmanizi herhangi bir uygulamada gercek zamanli metne yazar, global kisayollari destekler ve tum islemleri cihazinizda yerel olarak yapar.","VoiceType — це офлайн AI-застосунок для диктування на Windows на базі Nemotron ASR. Він перетворює ваше мовлення на текст у реальному часі в будь-якому застосунку, підтримує глобальні гарячі клавіші та виконує всю обробку локально на пристрої.","VoiceType to aplikacja AI do dyktowania offline dla Windows oparta na Nemotron ASR. Zamienia mowe na tekst w czasie rzeczywistym w dowolnej aplikacji, obsluguje globalne skroty i przetwarza wszystkie dane lokalnie na urzadzeniu.","VoiceType is een offline AI-dicteerapp voor Windows op basis van Nemotron ASR. De app zet je spraak in realtime om naar tekst in elke toepassing, ondersteunt globale sneltoetsen en verwerkt alle gegevens lokaal op je apparaat."
ReleaseNotes,3,Текст,,What's new in VoiceType 1.2.0.0: live on-device translation with Gemma 4 — the translation updates in real time as you speak and locks in when confident. Added an audio mixer with level meters and a capture source selector. Improved handling when the microphone is unavailable or loopback capture fails.,"Что нового в VoiceType 1.2.0.0: живой офлайн-перевод на базе Gemma 4 — перевод обновляется в реальном времени по мере речи и фиксируется, когда результат уверенный. Добавлен аудиомикшер с индикаторами уровня и выбором источника захвата. Улучшена обработка случаев, когда микрофон недоступен или запись с loopback не работает.","Neu in VoiceType 1.2.0.0: Live-Übersetzung direkt auf dem Gerät mit Gemma 4 — die Übersetzung aktualisiert sich in Echtzeit, während Sie sprechen, und wird fixiert, sobald sie sicher ist. Audio-Mixer mit Pegelanzeige und Auswahl der Aufnahmequelle hinzugefügt. Verbesserte Behandlung, wenn das Mikrofon nicht verfügbar ist oder die Loopback-Aufnahme fehlschlägt.",Nouveautés de VoiceType 1.2.0.0 : traduction en direct sur l'appareil avec Gemma 4 — la traduction se met à jour en temps réel pendant que vous parlez et se verrouille dès qu'elle est fiable. Ajout d'un mixeur audio avec indicateurs de niveau et sélection de la source de capture. Meilleure gestion lorsque le microphone est indisponible ou que la capture en boucle échoue.,Novedades de VoiceType 1.2.0.0: traducción en vivo en el dispositivo con Gemma 4 — la traducción se actualiza en tiempo real mientras hablas y se fija cuando es fiable. Añadido un mezclador de audio con medidores de nivel y selector de fuente de captura. Mejor gestión cuando el micrófono no está disponible o falla la captura en bucle.,VoiceType 1.2.0.0 更新内容：新增基于 Gemma 4 的设备端实时翻译——翻译会随您的语音实时更新，并在结果可靠时锁定。新增带电平表和采集源选择的音频混音器。改进麦克风不可用或环回采集失败时的处理。,VoiceType 1.2.0.0 の更新内容: Gemma 4 による端末内リアルタイム翻訳を追加。話している最中に翻訳がリアルタイムで更新され、確信が持てると確定します。レベルメーターとキャプチャソース選択を備えたオーディオミキサーを追加。マイクが利用できない場合やループバック録音が失敗する場合の処理を改善。,VoiceType 1.2.0.0 업데이트: Gemma 4 기반 기기 내 실시간 번역 추가 — 말하는 동안 번역이 실시간으로 업데이트되고 확실해지면 고정됩니다. 레벨 미터와 캡처 소스 선택 기능이 있는 오디오 믹서를 추가했습니다. 마이크를 사용할 수 없거나 루프백 캡처가 실패하는 경우의 처리를 개선했습니다.,Novidades do VoiceType 1.2.0.0: tradução ao vivo no dispositivo com Gemma 4 — a tradução é atualizada em tempo real enquanto você fala e é fixada quando fica confiável. Adicionado um mixer de áudio com medidores de nível e seletor de fonte de captura. Melhor tratamento quando o microfone está indisponível ou a captura em loop falha.,Novità di VoiceType 1.2.0.0: traduzione in tempo reale sul dispositivo con Gemma 4 — la traduzione si aggiorna in tempo reale mentre parli e si blocca quando è affidabile. Aggiunto un mixer audio con indicatori di livello e selezione della sorgente di acquisizione. Migliore gestione quando il microfono non è disponibile o l'acquisizione loopback fallisce.,الجديد في VoiceType 1.2.0.0: ترجمة فورية على الجهاز باستخدام Gemma 4 — تتحدّث الترجمة في الوقت الفعلي أثناء كلامك وتُثبَّت عندما تصبح النتيجة موثوقة. أضفنا خلاط صوت مع مؤشرات مستوى واختيار مصدر الالتقاط. تحسين معالجة الحالات التي يتعذّر فيها الوصول إلى الميكروفون أو يفشل فيها الالتقاط من مخرج الصوت (loopback).,VoiceType 1.2.0.0 में नया: Gemma 4 के साथ डिवाइस पर लाइव अनुवाद — बोलते समय अनुवाद वास्तविक समय में अपडेट होता है और परिणाम भरोसेमंद होने पर लॉक हो जाता है। लेवल मीटर और कैप्चर स्रोत चयन के साथ ऑडियो मिक्सर जोड़ा गया। माइक्रोफ़ोन अनुपलब्ध होने या लूपबैक कैप्चर विफल होने की स्थिति में बेहतर प्रबंधन।,VoiceType 1.2.0.0 yenilikleri: Gemma 4 ile cihaz üzerinde canlı çeviri — çeviri siz konuşurken gerçek zamanlı olarak güncellenir ve sonuç güvenilir olduğunda sabitlenir. Seviye göstergeleri ve yakalama kaynağı seçimi olan bir ses mikseri eklendi. Mikrofon kullanılamadığında veya loopback kaydı başarısız olduğunda daha iyi işleme.,"Що нового у VoiceType 1.2.0.0: живий переклад на пристрої на базі Gemma 4 — переклад оновлюється в реальному часі, поки ви говорите, і фіксується, коли результат стає впевненим. Додано аудіомікшер з індикаторами рівня та вибором джерела захоплення. Покращено обробку випадків, коли мікрофон недоступний або запис з loopback не працює.","Nowości w VoiceType 1.2.0.0: tłumaczenie na żywo na urządzeniu z modelem Gemma 4 — tłumaczenie aktualizuje się w czasie rzeczywistym podczas mówienia i jest zatwierdzane, gdy wynik jest pewny. Dodano mikser audio ze wskaźnikami poziomu i wyborem źródła przechwytywania. Ulepszona obsługa sytuacji, gdy mikrofon jest niedostępny lub nagrywanie loopback kończy się niepowodzeniem.",Nieuw in VoiceType 1.2.0.0: live vertaling op het apparaat met Gemma 4 — de vertaling wordt in realtime bijgewerkt terwijl u spreekt en wordt vastgezet zodra deze betrouwbaar is. Audiomixer met niveaumeters en keuze van opnamebron toegevoegd. Verbeterde afhandeling wanneer de microfoon niet beschikbaar is of loopback-opname mislukt.
DesktopScreenshot1,100,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3011360652378960628
DesktopScreenshot2,101,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3057777034739095771
DesktopScreenshot3,102,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3029824840795139895
DesktopScreenshot4,103,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3021350054058000964
DesktopScreenshot5,104,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3059815380367732879
DesktopScreenshot6,105,Относительный путь (или URL-адрес файла в Центре партнеров),,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679,https://developer.microsoft.com/en-us/dashboard/apps/9NRQX69XCLPT/submissions/1152921505701568798/listings/1152922700026410231/listingassets/3008699280721685679
